MidPoint,Noise mV,Average Temperature (°C),PZEM Voltage,PZEM Current,PZEM Power,PZEM Energy,PZEM Frequency,PZEM PF
,,,,,,,,
549,,,,,,,,
549,21,,,,,,,
549,21,21.75,,,,,,
549,21,21.75,233.2,,,,,
549,21,21.75,233.2,0.25,,,,
549,21,21.75,233.2,0.25,59.5,,,
549,21,21.75,233.2,0.25,59.5,0.057,,
549,21,21.75,233.2,0.25,59.5,0.057,49.9,
549,21,21.75,233.2,0.25,59.5,0.057,49.9,1
549,21,42.52,233.2,0.25,59.5,0.057,49.9,1
549,21,32.26,233.2,0.25,59.5,0.057,49.9,1
549,21,32.26,233.7,0.25,59.5,0.057,49.9,1
549,21,32.26,233.7,0.25,59.5,0.057,49.9,1
549,21,32.26,233.7,0.25,59.6,0.057,49.9,1
549,21,32.26,233.7,0.25,59.6,0.057,49.9,1
549,21,32.26,233.7,0.25,59.6,0.057,50,1
549,21,32.26,233.7,0.25,59.6,0.057,50,1
549,21,41.54,233.7,0.25,59.6,0.057,50,1
549,21,12.95,233.7,0.25,59.6,0.057,50,1
549,21,35.07,233.7,0.25,59.6,0.057,50,1
549,21,35.07,233.7,0.25,59.6,0.057,50,1
549,21,35.07,233.7,0.26,59.6,0.057,50,1
549,21,35.07,233.7,0.26,59.7,0.057,50,1
549,21,35.07,233.7,0.26,59.7,0.057,50,1
549,21,35.07,233.7,0.26,59.7,0.057,49.9,1
549,21,35.07,233.7,0.26,59.7,0.057,49.9,1
549,21,38.61,233.7,0.26,59.7,0.057,49.9,1
549,21,34.34,233.7,0.26,59.7,0.057,49.9,1
549,21,5.13,233.7,0.26,59.7,0.057,49.9,1
549,21,5.13,234,0.26,59.7,0.057,49.9,1
549,21,5.13,234,0.26,59.7,0.057,49.9,1
549,21,5.13,234,0.26,59.8,0.057,49.9,1
549,21,5.13,234,0.26,59.8,0.057,49.9,1
549,21,5.13,234,0.26,59.8,0.057,50,1
549,21,5.13,234,0.26,59.8,0.057,50,1
549,21,42.52,234,0.26,59.8,0.057,50,1
549,21,32.75,234,0.26,59.8,0.057,50,1
549,21,32.75,233.9,0.26,59.8,0.057,50,1
549,21,32.75,233.9,0.26,59.8,0.057,50,1
549,21,32.75,233.9,0.26,59.7,0.057,50,1
549,21,32.75,233.9,0.26,59.7,0.057,50,1
549,21,32.75,233.9,0.26,59.7,0.057,50,1
549,21,32.75,233.9,0.26,59.7,0.057,50,1
549,21,38,233.9,0.26,59.7,0.057,50,1
549,21,40.93,233.9,0.26,59.7,0.057,50,1
549,21,39.96,233.9,0.26,59.7,0.057,50,1
549,21,39.96,233.4,0.26,59.7,0.057,50,1
549,21,39.96,233.4,0.25,59.7,0.057,50,1
549,21,39.96,233.4,0.25,59.6,0.057,50,1
549,21,39.96,233.4,0.25,59.6,0.057,50,1
549,21,39.96,233.4,0.25,59.6,0.057,49.9,1
549,21,39.96,233.4,0.25,59.6,0.057,49.9,1
549,21,20.77,233.4,0.25,59.6,0.057,49.9,1
549,21,40.57,233.4,0.25,59.6,0.057,49.9,1
549,21,40.57,233.9,0.25,59.6,0.057,49.9,1
549,21,40.57,233.9,0.26,59.6,0.057,49.9,1
549,21,40.57,233.9,0.26,59.8,0.057,49.9,1
549,21,40.57,233.9,0.26,59.8,0.057,49.9,1
549,21,40.57,233.9,0.26,59.8,0.057,50,1
549,21,40.57,233.9,0.26,59.8,0.057,50,1
549,21,42.03,233.9,0.26,59.8,0.057,50,1
549,21,30.79,233.9,0.26,59.8,0.057,50,1
549,21,30.79,233.5,0.26,59.8,0.057,50,1
549,21,30.79,233.5,0.25,59.8,0.057,50,1
549,21,30.79,233.5,0.25,59.6,0.057,50,1
549,21,30.79,233.5,0.25,59.6,0.057,50,1
549,21,30.79,233.5,0.25,59.6,0.057,50,1
549,21,30.79,233.5,0.25,59.6,0.057,50,1
549,21,43.99,233.5,0.25,59.6,0.057,50,1
549,21,38.86,233.5,0.25,59.6,0.057,50,1
549,21,39.1,233.5,0.25,59.6,0.057,50,1
549,21,39.1,233.8,0.25,59.6,0.057,50,1
549,21,39.1,233.8,0.25,59.6,0.057,50,1
549,21,39.1,233.8,0.25,59.7,0.057,50,1
549,21,39.1,233.8,0.25,59.7,0.057,50,1
549,21,39.1,233.8,0.25,59.7,0.057,50,1
549,21,39.1,233.8,0.25,59.7,0.057,50,1
549,21,37.51,233.8,0.25,59.7,0.057,50,1
549,21,42.03,233.8,0.25,59.7,0.057,50,1
549,21,42.03,233.7,0.25,59.7,0.057,50,1
549,21,42.03,233.7,0.26,59.7,0.057,50,1
549,21,42.03,233.7,0.26,59.7,0.057,50,1
549,21,42.03,233.7,0.26,59.7,0.057,50,1
549,21,42.03,233.7,0.26,59.7,0.057,50,1
549,21,42.03,233.7,0.26,59.7,0.057,50,1
549,21,42.03,233.7,0.26,59.7,0.057,50,1
549,21,31.77,233.7,0.26,59.7,0.057,50,1
549,21,31.77,233.3,0.26,59.7,0.057,50,1
549,21,31.77,233.3,0.25,59.7,0.057,50,1
549,21,31.77,233.3,0.25,59.5,0.057,50,1
549,21,31.77,233.3,0.25,59.5,0.057,50,1
549,21,31.77,233.3,0.25,59.5,0.057,50,1
549,21,31.77,233.3,0.25,59.5,0.057,50,1
549,21,43.99,233.3,0.25,59.5,0.057,50,1
549,21,17.11,233.3,0.25,59.5,0.057,50,1
549,21,37.02,233.3,0.25,59.5,0.057,50,1
549,21,37.02,233.7,0.25,59.5,0.057,50,1
549,21,37.02,233.7,0.26,59.5,0.057,50,1
549,21,37.02,233.7,0.26,59.7,0.057,50,1
549,21,37.02,233.7,0.26,59.7,0.057,50,1
549,21,37.02,233.7,0.26,59.7,0.057,49.9,1
549,21,37.02,233.7,0.26,59.7,0.057,49.9,1
549,21,39.22,233.7,0.26,59.7,0.057,49.9,1
549,21,29.33,233.7,0.26,59.7,0.057,49.9,1
549,21,29.33,233.6,0.26,59.7,0.057,49.9,1
549,21,29.33,233.6,0.25,59.7,0.057,49.9,1
549,21,29.33,233.6,0.25,59.6,0.057,49.9,1
549,21,29.33,233.6,0.25,59.6,0.057,49.9,1
549,21,29.33,233.6,0.25,59.6,0.057,50,1
549,21,29.33,233.6,0.25,59.6,0.057,50,1
549,21,41.54,233.6,0.25,59.6,0.057,50,1
549,21,34.21,233.6,0.25,59.6,0.057,50,1
549,21,34.21,233.7,0.25,59.6,0.057,50,1
549,21,34.21,233.7,0.25,59.6,0.057,50,1
549,21,34.21,233.7,0.25,59.6,0.057,50,1
549,21,34.21,233.7,0.25,59.6,0.057,50,1
549,21,34.21,233.7,0.25,59.6,0.057,50,1
549,21,34.21,233.7,0.25,59.6,0.057,50,1
549,21,43.99,233.7,0.25,59.6,0.057,50,1
549,21,35.19,233.7,0.25,59.6,0.057,50,1
549,21,21.38,233.7,0.25,59.6,0.057,50,1
549,21,21.38,233.8,0.25,59.6,0.057,50,1
549,21,21.38,233.8,0.26,59.6,0.057,50,1
549,21,21.38,233.8,0.26,59.7,0.057,50,1
549,21,21.38,233.8,0.26,59.7,0.057,50,1
549,21,21.38,233.8,0.26,59.7,0.057,49.9,1
549,21,21.38,233.8,0.26,59.7,0.057,49.9,1
549,21,38.73,233.8,0.26,59.7,0.057,49.9,1
549,21,32.01,233.8,0.26,59.7,0.057,49.9,1
549,21,32.01,233.5,0.26,59.7,0.057,49.9,1
549,21,32.01,233.5,0.25,59.7,0.057,49.9,1
549,21,32.01,233.5,0.25,59.6,0.057,49.9,1
549,21,32.01,233.5,0.25,59.6,0.058,49.9,1
549,21,32.01,233.5,0.25,59.6,0.058,49.9,1
549,21,32.01,233.5,0.25,59.6,0.058,49.9,1
549,21,41.54,233.5,0.25,59.6,0.058,49.9,1
549,21,34.21,233.5,0.25,59.6,0.058,49.9,1
549,21,34.21,233.8,0.25,59.6,0.058,49.9,1
549,21,34.21,233.8,0.25,59.6,0.058,49.9,1
549,21,34.21,233.8,0.25,59.7,0.058,49.9,1
549,21,34.21,233.8,0.25,59.7,0.058,49.9,1
549,21,34.21,233.8,0.25,59.7,0.058,50,1
549,21,34.21,233.8,0.25,59.7,0.058,50,1
549,21,43.99,233.8,0.25,59.7,0.058,50,1
549,21,21.14,233.8,0.25,59.7,0.058,50,1
549,21,38.12,233.8,0.25,59.7,0.058,50,1
549,21,38.12,233.9,0.25,59.7,0.058,50,1
549,21,38.12,233.9,0.25,59.7,0.058,50,1
549,21,38.12,233.9,0.25,59.7,0.058,50,1
549,21,38.12,233.9,0.25,59.7,0.058,50,1
549,21,38.12,233.9,0.25,59.7,0.058,50,1
549,21,38.12,233.9,0.25,59.7,0.058,50,1
549,21,36.9,233.9,0.25,59.7,0.058,50,1
549,21,42.03,233.9,0.25,59.7,0.058,50,1
549,21,42.03,233.3,0.25,59.7,0.058,50,1
549,21,42.03,233.3,0.25,59.7,0.058,50,1
549,21,42.03,233.3,0.25,59.5,0.058,50,1
549,21,42.03,233.3,0.25,59.5,0.058,50,1
549,21,42.03,233.3,0.25,59.5,0.058,50,1
549,21,42.03,233.3,0.25,59.5,0.058,50,1
549,21,41.06,233.3,0.25,59.5,0.058,50,1
549,21,38.86,233.3,0.25,59.5,0.058,50,1
549,21,35.31,233.3,0.25,59.5,0.058,50,1
549,21,35.31,233.8,0.25,59.5,0.058,50,1
549,21,35.31,233.8,0.26,59.5,0.058,50,1
549,21,35.31,233.8,0.26,59.7,0.058,50,1
549,21,35.31,233.8,0.26,59.7,0.058,50,1
549,21,35.31,233.8,0.26,59.7,0.058,50,1
549,21,35.31,233.8,0.26,59.7,0.058,50,1
549,21,40.57,233.8,0.26,59.7,0.058,50,1
549,21,32.75,233.8,0.26,59.7,0.058,50,1
549,21,11.36,233.8,0.26,59.7,0.058,50,1
549,21,11.36,233.6,0.26,59.7,0.058,50,1
549,21,11.36,233.6,0.25,59.7,0.058,50,1
549,21,11.36,233.6,0.25,59.6,0.058,50,1
549,21,11.36,233.6,0.25,59.6,0.058,50,1
549,21,11.36,233.6,0.25,59.6,0.058,50,1
549,21,11.36,233.6,0.25,59.6,0.058,50,1
549,21,38,233.6,0.25,59.6,0.058,50,1
549,21,43.01,233.6,0.25,59.6,0.058,50,1
549,21,43.01,233.6,0.25,59.6,0.058,50,1
549,21,43.01,233.6,0.25,59.6,0.058,50,1
549,21,43.01,233.6,0.25,59.6,0.058,50,1
549,21,43.01,233.6,0.25,59.6,0.058,50,1
549,21,43.01,233.6,0.25,59.6,0.058,50,1
549,21,43.01,233.6,0.25,59.6,0.058,50,1
549,21,41.54,233.6,0.25,59.6,0.058,50,1
549,21,30.3,233.6,0.25,59.6,0.058,50,1
